"","nodeid","parent","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"107","B129","B125",0.1,2,0.539473684210526,0.223684210526316,0.365461847389558,0.228915662650602
"108","B13","B10",0.4,2,0.742821473158552,-0.0037453183520599,10.04,1.92
"109","B130","B129",0,NA,NA,NA,NA,NA
"110","B131","B129",0,NA,NA,NA,NA,NA
"111","B132","B100",0.4,2,0.761673151750973,0.0953307392996109,7.16,0.14
"112","B133","B132",0.3,3,0.535376466136966,NA,0.855707762557078,NA
"113","B134","B133",0.2,3,0.537490720118783,NA,0.276564774381368,NA
"114","B135","B134",0,NA,NA,NA,NA,NA
"115","B136","B134",0,NA,NA,NA,NA,NA
"116","B137","B134",0.2,2,0.731607629427793,0.211171662125341,8.78260869565217,4.39130434782609
"117","B138","B137",0,NA,NA,NA,NA,NA
"118","B139","B137",0.2,2,0.63150289017341,-0.134393063583815,0.0858085808580858,0.0346534653465346
"119","B14","B13",0.2,3,0.473254504504505,NA,0.111111111111111,NA
"120","B140","B139",0,NA,NA,NA,NA,NA
"121","B141","B139",0.1,2,0.656603773584906,0.226415094339623,2.54838709677419,1.58064516129032
"122","B142","B141",0,NA,NA,NA,NA,NA
"123","B143","B141",0,NA,NA,NA,NA,NA
"124","B144","B133",0.2,2,0.602201257861635,0.158805031446541,0.352760736196319,0.174846625766871
"125","B145","B144",0,NA,NA,NA,NA,NA
"126","B146","B144",0.1,2,0.603305785123967,-0.107438016528926,0.113372093023256,0.0203488372093023
"127","B147","B146",0,NA,NA,NA,NA,NA
"128","B148","B146",0,NA,NA,NA,NA,NA
"129","B149","B133",0.3,2,0.695216049382716,-0.119598765432099,0.24934554973822,0.151178010471204
"130","B15","B14",0,NA,NA,NA,NA,NA
"131","B150","B149",0,NA,NA,NA,NA,NA
"132","B151","B149",0.3,2,0.944128787878788,0.0293560606060606,3.50666666666667,3.08
"133","B152","B151",0.2,2,0.63715953307393,0.0865758754863813,0.869433198380567,0.501012145748988
"134","B153","B152",0,NA,NA,NA,NA,NA
"135","B154","B152",0.2,2,0.673387096774194,-0.162634408602151,0.0561299852289512,0.00295420974889217
"136","B155","B154",0,NA,NA,NA,NA,NA
"137","B156","B154",0.1,2,0.69935691318328,0.258842443729904,0.805555555555556,0.25
"138","B157","B156",0,NA,NA,NA,NA,NA
"139","B158","B156",0,NA,NA,NA,NA,NA
"140","B159","B151",0.2,2,0.581780538302277,0.289855072463768,8.5625,5.8125
"141","B16","B14",0,NA,NA,NA,NA,NA
"142","B160","B159",0,NA,NA,NA,NA,NA
"143","B161","B159",0.2,2,0.614014251781473,-0.22209026128266,0.141304347826087,0.0652173913043478
"144","B162","B161",0,NA,NA,NA,NA,NA
"145","B163","B161",0.1,2,0.744318181818182,0.03125,7.74285714285714,3.17142857142857
"146","B164","B163",0,NA,NA,NA,NA,NA
"147","B165","B163",0,NA,NA,NA,NA,NA
"148","B166","B132",0.3,3,0.580048661800487,NA,0.599240265906933,NA
"149","B167","B166",0,NA,NA,NA,NA,NA
"150","B168","B166",0.2,2,0.631964809384164,-0.277126099706745,0.150240384615385,0.0612980769230769
"151","B169","B168",0,NA,NA,NA,NA,NA
"152","B17","B14",0.2,2,0.695918367346939,0.142857142857143,7.01136363636364,2.46590909090909
"153","B170","B168",0.1,2,0.616129032258064,0.158064516129032,6.98648648648649,3.12162162162162
"154","B171","B170",0,NA,NA,NA,NA,NA
"155","B172","B170",0,NA,NA,NA,NA,NA
"156","B173","B166",0.3,2,0.644557823129252,0.268707482993197,7.56,1.56
"157","B174","B173",0,NA,NA,NA,NA,NA
"158","B175","B173",0.2,3,0.48665425201738,NA,0.706140350877193,NA
"159","B176","B175",0,NA,NA,NA,NA,NA
"160","B177","B175",0,NA,NA,NA,NA,NA
"161","B178","B175",0.2,3,0.494573643410853,NA,0.084949215143121,NA
"162","B179","B178",0,NA,NA,NA,NA,NA
"163","B18","B17",0,NA,NA,NA,NA,NA
"164","B180","B178",0,NA,NA,NA,NA,NA
"165","B181","B178",0.1,2,0.719101123595506,0.151685393258427,1.30722891566265,0.0783132530120483
"166","B182","B181",0,NA,NA,NA,NA,NA
"167","B183","B181",0,NA,NA,NA,NA,NA
"168","B184","C63",0.5,2,0.609257265877287,-0.320775026910657,1.13353115727003,0.350148367952522
"169","B185","B184",0,NA,NA,NA,NA,NA
"170","B186","B184",0.4,3,0.586033950617284,NA,0.598484848484849,NA
"171","B187","B186",0.1,2,0.560509554140127,0.184713375796178,0.294491525423729,0.218220338983051
"172","B188","B187",0,NA,NA,NA,NA,NA
"173","B189","B187",0,NA,NA,NA,NA,NA
"174","B19","B17",0.2,2,0.611922141119221,-0.0936739659367397,0.0713429256594724,0.000599520383693046
"175","B190","B186",0.2,2,0.654569892473118,0.143817204301075,1.10194174757282,0.815533980582524
"176","B191","B190",0,NA,NA,NA,NA,NA
"177","B192","B190",0.1,3,0.480359147025814,NA,0.020253164556962,NA
"178","B193","B192",0,NA,NA,NA,NA,NA
"179","B194","B192",0,NA,NA,NA,NA,NA
"180","B195","B192",0,NA,NA,NA,NA,NA
"181","B196","B186",0.4,2,0.778511404561825,-0.0978391356542617,10,1.59375
"182","B197","B196",0.3,2,0.630511463844797,-0.267195767195767,0.175202156334232,0.102425876010782
"183","B198","B197",0,NA,NA,NA,NA,NA
"184","B199","B197",0.3,2,0.700392927308448,0.158153241650295,8.18518518518519,4.7037037037037
"185","B2","B1",0,NA,NA,NA,NA,NA
"186","B20","B19",0,NA,NA,NA,NA,NA
"187","B200","B199",0,NA,NA,NA,NA,NA
"188","B201","B199",0.2,2,0.635011441647597,-0.143020594965675,0.0969827586206897,0.0165229885057471
"189","B202","B201",0.1,2,0.679069767441861,0.148837209302326,0.424050632911392,0.322784810126582
"190","B203","B202",0,NA,NA,NA,NA,NA
"191","B204","B202",0,NA,NA,NA,NA,NA
"192","B205","B201",0.1,2,0.636764705882353,0.166176470588235,1.57142857142857,1.16071428571429
"193","B206","B205",0,NA,NA,NA,NA,NA
"194","B207","B205",0,NA,NA,NA,NA,NA
"195","B208","B196",0.3,3,0.485388127853881,NA,0.322800495662949,NA
"196","B209","B208",0,NA,NA,NA,NA,NA
"197","B21","B19",0.1,2,0.568965517241379,0.224137931034483,1.89406779661017,1.66525423728814
"198","B210","B208",0,NA,NA,NA,NA,NA
"199","B211","B208",0.3,2,0.810769230769231,-0.0461538461538461,8.13043478260869,0.159420289855072
