"","nodeid","parent","indv","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"154","(54, 198, 29)-(58, 207, 28)","(58, 207, 28)-(75, 208, 25)","hht01",0,NA,NA,NA,NA,NA
"155","(19, 225, 22)-(58, 207, 28)","(58, 207, 28)-(75, 208, 25)","hht01",0,NA,NA,NA,NA,NA
"156","(71, 149, 25)-(85, 217, 20)","(85, 217, 20)-(101, 244, 21)","hht01",0.4,2,0.729965386496527,0.0360026269344917,0.690878699915661,0.557549412770695
"157","(71, 149, 25)-(80, 81, 27)","(71, 149, 25)-(85, 217, 20)","hht01",0.3,2,0.649635527110668,0.0269102551597115,0.179340854281217,0.0370079457124227
"158","(80, 81, 27)-(89, 75, 24)","(71, 149, 25)-(80, 81, 27)","hht01",0.3,2,0.813174185514793,0.016711573975962,0.45389709740337,0.31480215054693
"159","(89, 75, 24)-(90, 70, 19)","(80, 81, 27)-(89, 75, 24)","hht01",0.2,2,1.04967127959078,0.299346524445854,0.789099372316503,0.493059201437795
"160","(89, 72, 19)-(90, 70, 19)","(89, 75, 24)-(90, 70, 19)","hht01",0,NA,NA,NA,NA,NA
"161","(89, 60, 11)-(90, 70, 19)","(89, 75, 24)-(90, 70, 19)","hht01",0.2,2,0.88138931150517,0.206871779918685,0.54488196812703,0.440218677032628
"162","(89, 59, 12)-(89, 60, 11)","(89, 60, 11)-(90, 70, 19)","hht01",0,NA,NA,NA,NA,NA
"163","(89, 51, 16)-(89, 60, 11)","(89, 60, 11)-(90, 70, 19)","hht01",0.1,2,0.667399712615737,-0.0721167039401895,0.85256029979888,0.0688993421886822
"164","(89, 51, 16)-(90, 40, 17)","(89, 51, 16)-(89, 60, 11)","hht01",0,NA,NA,NA,NA,NA
"165","(89, 50, 25)-(89, 51, 16)","(89, 51, 16)-(89, 60, 11)","hht01",0,NA,NA,NA,NA,NA
"166","(89, 73, 24)-(89, 75, 24)","(80, 81, 27)-(89, 75, 24)","hht01",0,NA,NA,NA,NA,NA
"167","(62, 77, 26)-(80, 81, 27)","(71, 149, 25)-(80, 81, 27)","hht01",0.2,2,0.764046073714551,-0.0341772750017265,0.23887515640449,0.00731486302029102
"168","(61, 73, 26)-(62, 77, 26)","(62, 77, 26)-(80, 81, 27)","hht01",0,NA,NA,NA,NA,NA
"169","(59, 75, 29)-(62, 77, 26)","(62, 77, 26)-(80, 81, 27)","hht01",0.1,2,0.763307641401754,-0.0455207093765937,1.76437459571173,1.25484844813526
"170","(59, 75, 29)-(59, 76, 31)","(59, 75, 29)-(62, 77, 26)","hht01",0,NA,NA,NA,NA,NA
"171","(59, 65, 37)-(59, 75, 29)","(59, 75, 29)-(62, 77, 26)","hht01",0,NA,NA,NA,NA,NA
"172","(71, 149, 25)-(72, 139, 24)","(71, 149, 25)-(85, 217, 20)","hht01",0.2,2,0.560682839709906,0.0594125917401312,2.61414377036411,0.0346755030657712
"173","(72, 139, 24)-(73, 144, 9)","(71, 149, 25)-(72, 139, 24)","hht01",0,NA,NA,NA,NA,NA
"174","(61, 118, 28)-(72, 139, 24)","(71, 149, 25)-(72, 139, 24)","hht01",0.1,2,0.949788368357239,-0.0696181292667376,0.346068961565615,0.311076673871511
"175","(61, 118, 28)-(70, 110, 22)","(61, 118, 28)-(72, 139, 24)","hht01",0,NA,NA,NA,NA,NA
"176","(60, 118, 28)-(61, 118, 28)","(61, 118, 28)-(72, 139, 24)","hht01",0,NA,NA,NA,NA,NA
"177","(98, 259, 18)-(103, 247, 23)","(103, 247, 23)-(106, 246, 28)","hht01",0.1,2,0.682401791341183,0.163523356464815,1.30987441506458,0.204333345321169
"178","(98, 259, 18)-(100, 266, 14)","(98, 259, 18)-(103, 247, 23)","hht01",0,NA,NA,NA,NA,NA
"179","(97, 274, 19)-(98, 259, 18)","(98, 259, 18)-(103, 247, 23)","hht01",0,NA,NA,NA,NA,NA
"180","(103, 317, 29)-(107, 255, 36)","(107, 255, 36)-(114, 261, 28)","hht01",0,NA,NA,NA,NA,NA
"181","(122, 276, 26)-(124, 276, 26)","(114, 279, 28)-(122, 276, 26)","hht01",0.1,2,0.788590564538175,-0.036805959124706,6.07922184638921,1.52896128654412
"182","(124, 276, 26)-(134, 282, 19)","(122, 276, 26)-(124, 276, 26)","hht01",0,NA,NA,NA,NA,NA
"183","(124, 276, 26)-(131, 273, 24)","(122, 276, 26)-(124, 276, 26)","hht01",0,NA,NA,NA,NA,NA
